t=2026-03-06T04:12:31-0300 lvl=info msg="no configuration paths supplied"
t=2026-03-06T04:12:31-0300 lvl=info msg="using configuration at default config path" path="/Users/jeffersonlopes/Library/Application Support/ngrok/ngrok.yml"
t=2026-03-06T04:12:31-0300 lvl=info msg="open config file" path="/Users/jeffersonlopes/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-03-06T04:19:51-0300 lvl=info msg="join connections" obj=join id=e5bf6134a9fe l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:51-0300 lvl=info msg="join connections" obj=join id=cb568c608095 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:51-0300 lvl=info msg="join connections" obj=join id=6af2eed902a1 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:51-0300 lvl=info msg="join connections" obj=join id=d1d62ea8d192 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:51-0300 lvl=info msg="join connections" obj=join id=1c6abaaa1abc l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:51-0300 lvl=info msg="join connections" obj=join id=2cb2459d9d44 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:51-0300 lvl=info msg="join connections" obj=join id=0505f0eb353e l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:51-0300 lvl=info msg="join connections" obj=join id=0f74eba61a20 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:51-0300 lvl=info msg="join connections" obj=join id=0bc549e6d85c l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64845
t=2026-03-06T04:19:51-0300 lvl=info msg="join connections" obj=join id=909783ec67f3 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:51-0300 lvl=info msg="join connections" obj=join id=c09c4fe5cdb7 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:51-0300 lvl=info msg="join connections" obj=join id=ea4cceae62a8 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:19:51-0300 lvl=info msg="join connections" obj=join id=b3f382101d69 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:20:05-0300 lvl=info msg="join connections" obj=join id=4efb1efbdaad l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:20:05-0300 lvl=info msg="join connections" obj=join id=b0aaf52eebd0 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:20:05-0300 lvl=info msg="join connections" obj=join id=cd852a7017a2 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:20:05-0300 lvl=info msg="join connections" obj=join id=43f45f9f0d8d l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:20:14-0300 lvl=info msg="join connections" obj=join id=bece2220efa8 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64838
t=2026-03-06T04:20:24-0300 lvl=info msg="join connections" obj=join id=005ab5bf70ac l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:25-0300 lvl=info msg="join connections" obj=join id=009794c17c4e l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:25-0300 lvl=info msg="join connections" obj=join id=ea57fefb0d5b l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:25-0300 lvl=info msg="join connections" obj=join id=5fe75e30f34a l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:25-0300 lvl=info msg="join connections" obj=join id=c063702337d0 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:25-0300 lvl=info msg="join connections" obj=join id=d7c4719c8bb4 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:25-0300 lvl=info msg="join connections" obj=join id=9f56046c5da5 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:25-0300 lvl=info msg="join connections" obj=join id=6dfd94d0bd73 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:25-0300 lvl=info msg="join connections" obj=join id=d9416e0c35a3 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:25-0300 lvl=info msg="join connections" obj=join id=1953eef8755e l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64848
t=2026-03-06T04:20:25-0300 lvl=info msg="join connections" obj=join id=937507e69471 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:25-0300 lvl=info msg="join connections" obj=join id=6d0929c8eda5 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:25-0300 lvl=info msg="join connections" obj=join id=88aebbc3c445 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:25-0300 lvl=info msg="join connections" obj=join id=95475edd335d l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:25-0300 lvl=info msg="join connections" obj=join id=c05952046e8e l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:25-0300 lvl=info msg="join connections" obj=join id=a63319088ade l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:25-0300 lvl=info msg="join connections" obj=join id=68d2714dfcbd l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:25-0300 lvl=info msg="join connections" obj=join id=84aed688b725 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:25-0300 lvl=info msg="join connections" obj=join id=b02f353b9387 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
